word,origin,difficulty
azure,1,2
Islamic,1,2
sultan,1,2
artichoke,1,2
mummy,1,2
tarragon,1,2
adobe,1,2
mohair,1,2
borax,1,2
talc,1,2
arsenal,1,2
lemon,1,2
tuna,1,2
admiral,1,2
hazard,1,2
apricot,1,2
carmine,1,2
monsoon,1,2
average,1,2
gazelle,1,2
crimson,1,2
orange,1,2
sequin,1,2
macrame,1,2
algebra,1,2
guitar,1,2
nabob,1,2
giraffe,1,2
mattress,1,2
elixir,1,2
saffron,1,2
cotton,1,2
albatross,1,2
zero,1,2
safari,1,2
magazine,1,2
zenith,1,2
alfalfa,1,2
imam,1,2
mosque,1,2
alcohol,1,2
tariff,1,2
lilac,1,2
alcove,1,2
massage,1,2
henna,1,2
alchemy,1,2
sugar,1,2
taj,1,2
mahal,1,2
khan,1,2
ghoul,1,2
muslin,1,4
camphor,1,4
algorithm,1,4
minaret,1,4
tamarind,1,4
carafe,1,4
julep,1,4
marzipan,1,4
nenuphar,1,4
alcazar,1,4
tahini,1,4
Qatari,1,4
alkali,1,4
serendipity,1,4
nadir,1,4
douane,1,4
fennec,1,4
hafiz,1,4
azimuth,1,4
bezoar,1,4
halal,1,4
alim,1,4
Swahili,1,4
serdab,1,4
mihrab,1,4
salaam,1,4
mukhtar,1,4
khor,1,4
foggara,1,4
diffa,1,4
coffle,1,4
cockatoo,2,2
keelhaul,2,2
harpoon,2,2
furlough,2,2
bowery,2,2
easel,2,2
holster,2,2
freebooter,2,2
waffle,2,2
trawl,2,2
uproar,2,2
beleaguer,2,2
cruller,2,2
yacht,2,2
wiseacre,2,2
brackish,2,2
decoy,2,2
caboose,2,2
buckwheat,2,2
walrus,2,2
howitzer,2,2
crimp,2,2
bluff,2,2
stipple,2,2
floss,2,2
cruiser,2,2
hustle,2,2
klompen,2,2
polder,2,2
bundle,2,2
catkin,2,2
splice,2,2
Flemish,2,2
grabble,2,2
huckster,2,2
frolic,2,2
ravel,2,2
tattle,2,2
scum,2,2
trek,2,2
scrabble,2,2
clapboard,2,2
gruff,2,2
isinglass,2,2
excise,2,2
blister,2,2
rabbit,2,2
package,2,2
muddle,2,2
handsome,2,2
foist,2,2
staple,2,2
gulden,2,2
mart,2,2
screen,2,2
guilder,2,2
etch,2,2
Netherlander,2,2
dune,2,2
croon,2,2
ticket,2,2
buckwagon,2,2
hock,2,2
boodle,2,2
guy,2,2
daffodil,2,2
loiter,2,2
potash,2,2
scow,2,2
wintergreen,2,2
trigger,2,2
stripe,2,2
bruin,2,2
skipper,2,2
waywiser,2,2
spoor,2,2
mizzle,2,2
school,2,2
pickle,2,2
snuff,2,2
mynheer,2,4
waterzooi,2,4
flense,2,4
muishond,2,4
witloof,2,4
springbok,2,4
maelstrom,2,4
bobbejaan,2,4
keeshond,2,4
voortrekker,2,4
uitlander,2,4
hollandaise,2,4
galjoen,2,4
schipperke,2,4
apartheid,2,4
hartebeest,2,4
keest,2,4
wainscot,2,4
roodebok,2,4
peloton,3,2
barrage,3,2
chagrin,3,2
pacifism,3,2
manicure,3,2
altruism,3,2
bureaucracy,3,2
mascot,3,2
parfait,3,2
mystique,3,2
layette,3,2
boutique,3,2
dressage,3,2
croquet,3,2
gorgeous,3,2
denture,3,2
mirage,3,2
denim,3,2
cachet,3,2
neologism,3,2
beige,3,2
diplomat,3,2
motif,3,2
suave,3,2
foyer,3,2
clementine,3,2
ambulance,3,2
rehearse,3,2
leotard,3,2
prairie,3,2
diorama,3,2
entourage,3,2
fuselage,3,2
boudoir,3,2
collage,3,2
amenable,3,2
expertise,3,2
matinee,3,2
plateau,3,2
sortie,3,2
croquette,3,2
physique,3,2
elite,3,2
deluxe,3,2
nougat,3,2
rouge,3,2
escargot,3,2
crochet,3,2
regime,3,2
doctrinaire,3,2
tutu,3,2
bevel,3,2
menu,3,2
egalitarian,3,2
quiche,3,2
fatigue,3,2
garage,3,2
morgue,3,2
stethoscope,3,2
vogue,3,2
musicale,3,2
palette,3,2
flamboyant,3,2
baton,3,2
souvenir,3,2
impasse,3,2
finesse,3,2
maladroit,3,2
gauche,3,4
rapport,3,4
camouflage,3,4
genre,3,4
virgule,3,4
debacle,3,4
fusillade,3,4
saboteur,3,4
renaissance,3,4
chauvinism,3,4
recidivist,3,4
chassis,3,4
detente,3,4
raconteur,3,4
mayonnaise,3,4
surveillance,3,4
repertoire,3,4
dossier,3,4
taupe,3,4
poignant,3,4
garcon,3,4
croissant,3,4
ecru,3,4
lieutenant,3,4
lethargy,4,2
android,4,2
chronic,4,2
biopsy,4,2
irony,4,2
automaton,4,2
enthusiasm,4,2
synopsis,4,2
homogeneous,4,2
odyssey,4,2
megalopolis,4,2
acme,4,2
synonym,4,2
orthodox,4,2
aristocracy,4,2
calypso,4,2
patriarch,4,2
hierarchy,4,2
character,4,2
isobar,4,2
asterisk,4,2
eclectic,4,2
melancholy,4,2
stoic,4,2
chronology,4,2
eulogy,4,2
didactic,4,2
cosmetic,4,2
Spartan,4,2
geothermal,4,2
