word,origin,difficulty
azure,1,2
Islamic,1,2
sultan,1,2
artichoke,1,2
mummy,1,2
tarragon,1,2
adobe,1,2
mohair,1,2
borax,1,2
talc,1,2
arsenal,1,2
lemon,1,2
tuna,1,2
admiral,1,2
hazard,1,2
apricot,1,2
carmine,1,2
monsoon,1,2
average,1,2
gazelle,1,2
crimson,1,2
orange,1,2
sequin,1,2
macrame,1,2
algebra,1,2
guitar,1,2
nabob,1,2
giraffe,1,2
mattress,1,2
elixir,1,2
saffron,1,2
cotton,1,2
albatross,1,2
zero,1,2
safari,1,2
magazine,1,2
zenith,1,2
alfalfa,1,2
imam,1,2
mosque,1,2
alcohol,1,2
tariff,1,2
lilac,1,2
alcove,1,2
massage,1,2
henna,1,2
alchemy,1,2
sugar,1,2
taj,1,2
mahal,1,2
khan,1,2
ghoul,1,2
muslin,1,4
camphor,1,4
algorithm,1,4
minaret,1,4
tamarind,1,4
carafe,1,4
julep,1,4
marzipan,1,4
nenuphar,1,4
alcazar,1,4
tahini,1,4
Qatari,1,4
alkali,1,4
serendipity,1,4
nadir,1,4
douane,1,4
fennec,1,4
hafiz,1,4
azimuth,1,4
bezoar,1,4
halal,1,4
alim,1,4
Swahili,1,4
serdab,1,4
mihrab,1,4
salaam,1,4
mukhtar,1,4
khor,1,4
foggara,1,4
diffa,1,4
coffle,1,4
dugong,2,2
guru,2,2
cushy,2,2
seersucker,2,2
jungle,2,2
oolong,2,2
nirvana,2,2
bangle,2,2
cummerbund,2,2
juggernaut,2,2
pangolin,2,2
mahatma,2,2
rupee,2,2
mongoose,2,2
shampoo,2,2
typhoon,2,2
bamboo,2,2
jackal,2,2
dungaree,2,2
bungalow,2,2
gunnysack,2,2
chutney,2,2
karma,2,2
jute,2,2
yamen,2,2
raj,2,2
kama,2,2
pundit,2,2
loot,2,2
kavya,2,2
jiva,2,2
pandit,2,2
chintz,2,2
patel,2,2
gymkhana,2,4
basmati,2,4
gingham,2,4
mandir,2,4
bhalu,2,4
gourami,2,4
masala,2,4
raita,2,4
asana,2,4
batik,2,4
charpoy,2,4
durwan,2,4
mahout,2,4
prabhu,2,4
Buddha,2,4
topeng,2,4
tanha,2,4
lahar,2,4
jnana,2,4
Holi,2,4
cockatoo,3,2
keelhaul,3,2
harpoon,3,2
furlough,3,2
bowery,3,2
easel,3,2
holster,3,2
freebooter,3,2
waffle,3,2
trawl,3,2
uproar,3,2
beleaguer,3,2
cruller,3,2
yacht,3,2
wiseacre,3,2
brackish,3,2
decoy,3,2
caboose,3,2
buckwheat,3,2
walrus,3,2
howitzer,3,2
crimp,3,2
bluff,3,2
stipple,3,2
floss,3,2
cruiser,3,2
hustle,3,2
klompen,3,2
polder,3,2
bundle,3,2
catkin,3,2
splice,3,2
Flemish,3,2
grabble,3,2
huckster,3,2
frolic,3,2
ravel,3,2
tattle,3,2
scum,3,2
trek,3,2
scrabble,3,2
clapboard,3,2
gruff,3,2
isinglass,3,2
excise,3,2
blister,3,2
rabbit,3,2
package,3,2
muddle,3,2
handsome,3,2
foist,3,2
staple,3,2
gulden,3,2
mart,3,2
screen,3,2
guilder,3,2
etch,3,2
Netherlander,3,2
dune,3,2
croon,3,2
ticket,3,2
buckwagon,3,2
hock,3,2
boodle,3,2
guy,3,2
daffodil,3,2
loiter,3,2
potash,3,2
scow,3,2
wintergreen,3,2
trigger,3,2
stripe,3,2
bruin,3,2
skipper,3,2
waywiser,3,2
spoor,3,2
mizzle,3,2
school,3,2
pickle,3,2
snuff,3,2
mynheer,3,4
waterzooi,3,4
flense,3,4
muishond,3,4
witloof,3,4
springbok,3,4
maelstrom,3,4
bobbejaan,3,4
keeshond,3,4
voortrekker,3,4
uitlander,3,4
hollandaise,3,4
galjoen,3,4
schipperke,3,4
apartheid,3,4
hartebeest,3,4
keest,3,4
wainscot,3,4
roodebok,3,4
praline,4,2
magnolia,4,2
boysenberry,4,2
hosta,4,2
poinsettia,4,2
macadamia,4,2
salmonella,4,2
newton,4,2
saxophone,4,2
tortoni,4,2
greengage,4,2
angstrom,4,2
gardenia,4,2
melba,4,2
tantalize,4,2
zinnia,4,2
quisling,4,2
begonia,4,2
samaritan,4,2
Panglossian,4,2
quixote,4,2
jeremiad,4,2
hector,4,2
Geronimo,4,2
shrapnel,4,2
vulcanize,4,2
Frankenstein,4,2
Boswell,4,2
ampere,4,2
cupid,4,2
Fletcherism,4,2
yahoo,4,2
diesel,4,2
bandersnatch,4,2
Crusoe,4,2
mentor,4,2
Dracula,4,2
forsythia,4,4
madeleine,4,4
bromeliad,4,4
mercerize,4,4
Fahrenheit,4,4
narcissistic,4,4
dahlia,4,4
Baedeker,4,4
philippic,4,4
guillotine,4,4
Bobadil,4,4
mesmerize,4,4
gnathonic,4,4
pasteurize,4,4
Croesus,4,4
braggadocio,4,4
peloton,5,2
barrage,5,2
chagrin,5,2
pacifism,5,2
manicure,5,2
altruism,5,2
bureaucracy,5,2
mascot,5,2
parfait,5,2
mystique,5,2
layette,5,2
